id,nombre,direccion,tipo_actividad,recoleccion,telefono,email,responsable_ambiente,cuit,sector,localidad_id
1,ALMA TATTOO,Av. Roca 297 ,Tatuajes,3 X SEMANA,154563399,s/d, Villavicencio Sergio,,,2
2,ALPHA MEDICINA OCUPACIONAL ,25 de Mayo 125 P. B.,Consultorio médico,3 X SEMANA,4472252,alphamedoc@live.com.ar,Lorea Nestor Francisco ,,,2
3,ANAKAINOSIS,M.T. Alvear 395,Hogar de ancianos,3 X SEMANA,4454185,s/d,Cadagan Viviana,,,2
4,ASESORIA MEDICA DEL TRABAJO SH,Belgrano 359,Consultorio médico,3 X SEMANA,4451410,cemelab@speedy.com.ar,Roitberg Victor- Panigadi Guillermo,,,2
5,ASOCIACIÓN ARGENTINA DE CAPITANES Y PATRONES DE PESCA (Farmacia C Pesca),Roque S. Peña 386,farmacia,3 X SEMANA,4450315,s/d,Nicosia Elvecia Pilar Elizabeth,,,2
6,ASOCIACIÓN CIVIL CIUDADANOS COMPROMETIDOS CON LA SOCIEDAD,Mendoza 950,Consultorio médico,3 X SEMANA,154363357,s/d,Campos Aldo R.,,,2
7,ASOCIACION DE OBRAS SOCIALES DE TRELEW - ADOS,Mitre 476,Farmacia,3 X SEMANA,4470366,farmaciaadospm@hotmail.com,Tirador Milagros,,,2
8,BANCO DE SANGRE DE PUERTO MADRYN ,Estivariz 260,Laboratorio de análisis clínicos,DIARIA,4456000,s/d,Manera Guillermo Oscar ,,,2
9,BIOMAD S.R.L.,Belgrano 198 - Of. 7,Laboratorio de análisis clínicos,DIARIA,154604101,s/d,Heck Graciela Alicia ,,,2
10,BRANDO NORBERTO,Av. Roca 353. 1º Piso,Consultorio médico,3 X SEMANA,4451638,s/d,Brando Norberto ,,,2
11,BUSTAMANTE HERNAN CARLOS,28 de julio 570,Consultorio odontológico,3 X SEMANA,154620355 - 4458795,herbus@speddy.com.ar,Bustamante Hernan Carlos,,,2
12,CABRAL EDA,Av. Roca 353. 5to Piso. Ofic. 2,Consultorio odontológico,3 X SEMANA,4475883,consultoriomoz@yahoo.com,Cabral Eda,,,2
13,CARDIAL PUERTO MADRYN S.A.,Marcos A. Zar 646,Centro de hemodiálisis,DIARIA,4457548 - 4458669,cardialmadryn@speedy.com.ar,Tartaglione Julio Cesar,,,2
14,CATALAN LUIS ALBERTO,Los Aromos - Quintas el Mirador,Hogar de ancianos,3 X SEMANA,4474316 - 154590430,s/d,Catalan Luis Alberto,,,2
15,CECVA S/H,Av. Roca 353 - 4º Piso - Ed. Roca II - Dto 6,Consultorio médico,3 X SEMANA,4455892,s/d,Bauk Lucas - Costa Hector A.,,,2
16,CEDIM,Gales 148,Centro de diagnostico por imágenes,3 X SEMANA,4456357,info@cedimdigital.com.ar,Tempesta Rodrigo,,,2
17,CENTRO DE LA VISIÓN ,Marcos A. Zar 537,Consultorio médico,DIARIA,4455500,centrodelavision@infovia.com.ar,Federico Luis,,,2
18,CENTRO DE ORTODONCIA: Reule,25 de Mayo 364 1º Piso. Of. 3,Consultorio odontológico,3 X SEMANA,4455539,centrodeortodonciacr@gmail.com,Reule María Carolina ,,,2
19,CENTRO DE REHABILITACION PEDIATRICO,San Martin 720,Consultorio médico,3 X SEMANA,s/d,amparo_ledesma@hotmail.com,Ledesma Lozano Maria Amparo,,,2
20,CENTRO DIAGNOSTICO SAN JORGE S.R.L.,Gob. Maiz 830,Centro de diagnóstico,DIARIA,,ecodoppler@yahoo.com.ar.,Schonfeld Daniel,,,2
21,CENTRO MEDICO DE LA AVENIDA,Av. Gales 246,Consultorio médico,DIARIA,4471737 - 4471682,graprovidencia@yahoo.com.ar,Perez Maria Graciela,,,2
22,CENTRO ODONTOLOGICO PUERTO MADRYN,Roque S. Peña 399,Consultorio odontológico,3 X SEMANA,4454774,s/d,Etcharran Ricardo Julio,,,2
23,CENTRO OFTALMOLOGICO PUERTO MADRYN,Mitre 770,Consultorio médico,DIARIA,4475088,jlinaresdelacal@hotmail.com,Linares de la Cal Jorge A.,,,2
24,CENTRO ONCOLOGICO PUERTO MADRYN,Moreno 165,Consultorio médico,DIARIA,4456699,s/d,Gallina Nanni Carlos Roman,,,2
25,CEVET SUR,Av. Roca 1488,Veterinaria,3 X SEMANA,4474783,martinez gonzalesluis@hotmail.com,Martinez Gonzalez Luis Alberto ,,,2
26,CHICHI MAGDALENA,San Martin 286,Consultorio médico,3 X SEMANA,154600170,magdalenachichi@hotmail.com,Chichi Magdalena,,,2
27,CHP,Rivadavia 257,Consultorio médico,3 X SEMANA,4455254,marboero@speedy.com.ar,Boeno Marta Sara,,,2
28,CIK,25 de Mayo 566,Consultorio de kinesiologia,3 X SEMANA,154604653,cik_puertomadryn@yahoo.com.ar,Basilico Sonia Beatriz  ,,,2
29,CITEN,Mitre 483,Consultorio médico,3 X SEMANA,154457064,s/d,Meternicht Marisa,,,2
30,CLINICA ADOS,Mitre 472,Consultorio médico,DIARIA,4472548,santamaria-pm@hotmail.com,Nuñez Guillermo ,,,2
31,CLINICA MEDICA VITANGELO DANIELE,España 215,Consultorio médico,3 X SEMANA,154342664,s/d,Vitangelo Daniele,,,2
32,CLINICA ODONTOLOGICA MONICA GIL ,Juan Muzzio 886,Consultorio odontológico,3 X SEMANA,154303727,s/d,Gil Monica ,,,2
33,CLINICA VETERINARIA HUELLA,Sarmiento 858,Veterinaria,3 X SEMANA,154518400,s/d,Sylwan Diego Jorge,,,2
34,CLINICA VETERINARIA PATAGONICA,Mitre 2310,Veterinaria,3 X SEMANA,154407295,silvinarode@infovia.com.ar,Rodriguez Silvina Vanesa,,,2
35,CLINICA Y MATERNIDAD SANTA MARIA ,Mitre 651,Clínica,DIARIA,4458726 - 4472548,santamaria-pm@hotmail.com,Nuñez Guillermo Federico ,,,2
36,COE,Yrigoyen 650,Consultorio odontológico,3 X SEMANA,4470423,s/d,Koenig  Diego Martin David,,,2
37,COGUAI YENU,Tierra del Fuego y Estivariz,Veterinaria,3 X SEMANA,154402968,s/d,D´Aragona Estefania,,,2
38,CONSALUD S.H,Mitre 696,Consultorio médico,3 X SEMANA,4452020,consultoioconsalud@gmail.com,Castillo Gisela Vanesa,,,2
39,CONSULTORIO CARDIOLOGIA: Soumolou,ed. Roca II piso 8 of. 3,Consultorio médico,3 X SEMANA,4482872 - 154673088,s/d,Soumoulou Juan ,,,2
40,CONSULTORIO DE FONOAUDIOLOGIA: Dominguez,Av. Roca 353 - 4º Piso - Ed. Roca II - Dto 4,Consultorio médico,3 X SEMANA,154567311,s/d,Dominguez Laura Daniela ,,,2
41,CONSULTORIO De KINESIOLOGIA SUR,Av. Roca 1639,Consultorio de kinesiologia,3 X SEMANA,4474437,jazminpeñaloza@hotmail.com,Peñalozo Veronica,,,2
42,CONSULTORIO DE KLOGIA,Sarmiento  427,Kinesiología,3 X SEMANA,4474799,s/d,Allende Maxwell Cecilia,,,2
43,CONSULTORIO DE LA COSTA,España 4,Consultorio médico,3 X SEMANA,4456699,s/d,Vacarezza Viviana,,,2
44,CONSULTORIO DE MADRYN,San Martin 596,Consultorio médico,3 X SEMANA,154273282,s/d,Arguelles Ana A.,,,2
45,CONSULTORIO DE PODOLOGIA: Munar,Av. Gales 246,Consultorio médico,3 X SEMANA,154670805,s/d,Munar Monasterio Cristian,,,2
46,CONSULTORIO GINECOLOGICO MONICA BLUM,Estivariz 233,Consultorio médico,3 X SEMANA,4472223,aymblum@yahoo.com.ar,Dyksztein de Blum Monica,,,2
